date,income,croissant,tartelette,boisson_33cl
2021-01-02,987.85,66.0,0.0,0.0
2021-01-03,1014.3,59.0,0.0,0.0
2021-01-04,461.9,17.0,0.0,1.0
2021-01-05,515.7,12.0,0.0,3.0
2021-01-06,529.85,13.5,0.0,2.0
2021-01-07,544.0,15.0,0.0,1.0
2021-01-08,533.6,36.0,0.0,2.0
2021-01-09,666.45,33.0,0.0,1.0
2021-01-10,890.8,48.0,0.0,0.0
2021-01-11,439.55,14.0,0.0,0.0
2021-01-12,376.7,24.0,0.0,1.0
2021-01-13,446.625,24.0,0.0,0.5
2021-01-14,516.55,24.0,0.0,0.0
2021-01-15,517.82,37.0,0.0,0.0
2021-01-16,620.65,27.0,0.0,0.0
2021-01-17,834.2,42.0,0.0,1.0
2021-01-18,451.05,16.0,0.0,0.0
2021-01-19,416.34999999999997,23.0,0.0,0.0
2021-01-20,428.67499999999995,15.5,3.5,1.5
2021-01-21,441.0,8.0,7.0,3.0
2021-01-22,535.1,30.0,8.0,1.0
2021-01-23,602.8,23.0,5.0,3.0
2021-01-24,761.85,39.0,14.0,0.0
2021-01-25,438.3,26.0,3.0,4.0
2021-01-26,431.05,18.0,4.0,1.0
2021-01-27,414.175,14.5,2.5,1.5
2021-01-28,397.3,11.0,1.0,2.0
2021-01-29,512.7,22.0,10.0,3.0
2021-01-30,571.15,39.0,4.0,0.0
2021-01-31,779.95,77.0,7.0,0.0
2021-02-01,340.4,6.0,5.0,1.0
2021-02-02,411.35,9.0,3.0,3.0
2021-02-03,417.95000000000005,19.0,3.0,1.5
2021-02-04,424.55,29.0,3.0,0.0
2021-02-05,543.45,19.0,8.0,2.0
2021-02-06,629.4,38.0,9.0,0.0
2021-02-07,764.35,78.0,23.0,1.0
2021-02-08,465.45,28.0,13.0,1.0
2021-02-09,459.6,11.0,7.0,0.0
2021-02-10,387.025,13.5,5.5,0.5
2021-02-11,314.45,16.0,4.0,1.0
2021-02-12,442.75,20.0,5.0,2.0
2021-02-13,583.5,33.0,5.0,0.0
2021-02-14,929.55,77.0,22.0,2.0
2021-02-15,485.15,20.0,0.0,5.0
2021-02-16,456.45,16.0,6.0,2.0
2021-02-17,453.79999999999995,13.5,5.5,2.0
2021-02-18,451.15,11.0,5.0,2.0
2021-02-19,607.95,28.0,3.0,3.0
2021-02-20,694.8,22.0,9.0,2.0
2021-02-21,1183.5,99.0,20.0,0.0
2021-02-22,741.45,51.0,3.0,1.0
2021-02-23,808.55,63.0,6.0,3.0
2021-02-24,811.025,58.0,4.5,1.5
2021-02-25,813.5,53.0,3.0,0.0
2021-02-26,1084.15,47.0,14.0,3.0
2021-02-27,1324.65,57.0,19.0,3.0
2021-02-28,1867.05,133.0,22.0,0.0
2021-03-01,760.25,41.0,8.0,1.0
2021-03-02,848.8,19.0,9.0,2.0
2021-03-03,828.05,22.0,10.5,1.0
2021-03-04,807.3,25.0,12.0,0.0
2021-03-05,915.6,35.0,2.0,2.0
2021-03-06,996.6999999999999,44.0,13.0,0.0
2021-03-07,1244.9,83.0,22.0,0.0
2021-03-08,600.65,13.0,9.0,4.0
2021-03-09,610.45,21.0,9.0,0.0
2021-03-10,624.425,29.5,7.0,0.5
2021-03-11,638.4,38.0,5.0,1.0
2021-03-12,702.4,30.0,6.0,2.0
2021-03-13,927.8,66.0,28.0,0.0
2021-03-14,1155.5,96.0,25.0,0.0
2021-03-15,618.95,21.0,10.0,5.0
2021-03-16,755.45,26.0,5.0,4.0
2021-03-17,620.85,17.5,4.5,3.5
2021-03-18,486.25,9.0,4.0,3.0
2021-03-19,624.6,27.0,3.0,1.0
2021-03-20,870.75,40.0,4.0,2.0
2021-03-21,1098.35,71.0,18.0,0.0
2021-03-22,579.85,28.0,3.0,2.0
2021-03-23,470.1,22.0,8.0,1.0
2021-03-24,543.325,23.5,7.0,3.5
2021-03-25,616.55,25.0,6.0,6.0
2021-03-26,665.3,32.0,5.0,0.0
2021-03-27,695.95,21.0,8.0,4.0
2021-03-28,1059.0,75.0,19.0,0.0
2021-03-29,630.7,10.0,5.0,2.0
2021-03-30,707.05,31.0,4.0,5.0
2021-03-31,633.05,25.5,6.5,4.0
2021-04-01,559.05,20.0,9.0,3.0
2021-04-02,800.5,20.0,8.0,6.0
2021-04-03,1097.95,60.0,2.0,0.0
2021-04-04,2088.35,120.0,14.0,0.0
2021-04-05,1032.1,45.0,4.0,2.0
2021-04-06,771.0,21.0,12.0,5.0
2021-04-07,688.25,24.0,7.0,3.0
2021-04-08,605.5,27.0,2.0,1.0
2021-04-09,599.8,14.0,3.0,7.0
2021-04-10,865.45,44.0,0.0,2.0
2021-04-11,1102.35,64.0,21.0,0.0
2021-04-12,722.3,22.0,3.0,4.0
2021-04-13,765.4,30.0,3.0,5.0
2021-04-14,539.8,27.0,3.0,1.0
2021-04-15,674.25,12.0,7.0,3.0
2021-04-16,753.1,33.0,9.0,2.0
2021-04-17,950.15,71.0,2.0,3.0
2021-04-18,1458.95,95.0,27.0,1.0
2021-04-19,686.8,28.0,2.0,5.0
2021-04-20,823.0,37.0,2.0,3.0
2021-04-21,621.45,31.0,3.0,6.0
2021-04-22,859.1,26.0,5.0,7.0
2021-04-23,721.75,28.0,4.0,0.0
2021-04-24,994.55,66.0,8.0,3.0
2021-04-25,1459.6,114.0,22.0,1.0
2021-04-26,603.75,36.0,7.0,3.0
2021-04-27,533.15,29.0,5.0,3.0
2021-04-28,633.1,28.0,5.0,5.0
2021-04-29,650.0,23.0,7.0,7.0
2021-04-30,677.5,30.0,3.0,3.0
2021-05-01,986.8,55.0,6.0,4.0
2021-05-02,1255.7,79.0,15.0,0.0
2021-05-03,762.3,40.0,3.0,8.0
2021-05-04,621.35,16.0,4.0,3.0
2021-05-05,777.8,47.0,4.0,4.0
2021-05-06,625.85,19.0,6.0,4.0
2021-05-07,758.05,32.0,14.0,3.0
2021-05-08,1169.1,64.0,20.0,1.0
2021-05-09,1506.9,86.0,44.0,2.0
2021-05-10,691.05,26.0,12.0,4.0
2021-05-11,636.3,19.0,4.0,0.0
2021-05-12,977.3,28.0,16.0,2.0
2021-05-13,1607.5,66.0,11.0,0.0
2021-05-14,1839.9,109.0,8.0,3.0
2021-05-15,2065.6,112.0,19.0,0.0
2021-05-16,2209.0,189.0,44.0,4.0
2021-05-17,1884.4099999999999,155.6,35.6,4.2
2021-05-18,1559.82,122.2,27.2,4.4
2021-05-19,1235.23,88.80000000000001,18.799999999999997,4.6
2021-05-20,910.6399999999999,55.400000000000006,10.399999999999999,4.8
2021-05-21,586.05,22.0,2.0,5.0
2021-05-22,1222.65,87.0,8.0,2.0
2021-05-23,1997.05,137.0,28.0,0.0
2021-05-24,1459.15,112.0,14.0,1.0
2021-05-25,759.6,32.0,10.0,8.0
2021-05-26,513.95,8.0,7.0,1.0
2021-05-27,646.1,21.0,1.0,4.0
2021-05-28,748.05,12.0,3.0,8.0
2021-05-29,963.15,68.0,3.0,4.0
2021-05-30,1527.5,106.0,21.0,1.0
2021-05-31,703.5,22.0,0.0,10.0
2021-06-01,684.7,30.0,2.0,9.0
2021-06-02,599.65,23.0,2.0,5.0
2021-06-03,612.4,14.0,3.0,5.0
2021-06-04,860.1999999999999,45.0,9.0,1.0
2021-06-05,944.25,72.0,12.0,0.0
2021-06-06,1369.75,112.0,21.0,1.0
2021-06-07,689.05,23.0,1.0,3.0
2021-06-08,761.3,38.0,7.0,6.0
2021-06-09,634.1,30.0,3.0,7.0
2021-06-10,600.85,23.0,4.0,2.0
2021-06-11,797.85,40.0,7.0,9.0
2021-06-12,916.1,62.0,1.0,4.0
2021-06-13,1472.15,110.0,18.0,2.0
2021-06-14,710.0,27.0,0.0,4.0
2021-06-15,728.0,32.0,1.0,10.0
2021-06-16,664.3,38.0,4.0,5.0
2021-06-17,559.95,17.0,2.0,1.0
2021-06-18,641.4,27.0,9.0,1.0
2021-06-19,934.6,46.0,4.0,0.0
2021-06-20,1423.95,120.0,25.0,2.0
2021-06-21,722.6,34.0,3.0,1.0
2021-06-22,657.85,13.0,9.0,6.0
2021-06-23,576.2,18.0,7.0,3.0
2021-06-24,776.3,32.0,7.0,5.0
2021-06-25,730.45,33.0,9.0,7.0
2021-06-26,924.45,67.0,1.0,3.0
2021-06-27,1611.0,123.0,21.0,0.0
2021-06-28,685.7,29.0,0.0,4.0
2021-06-29,670.3,22.0,5.0,9.0
2021-06-30,650.85,19.0,0.0,3.0
2021-07-01,742.65,29.0,9.0,9.0
2021-07-02,735.95,28.0,5.0,8.0
2021-07-03,1073.5,62.0,7.0,2.0
2021-07-04,1475.15,102.0,23.0,1.0
2021-07-05,891.35,35.0,13.0,7.0
2021-07-06,881.95,47.0,6.0,4.0
2021-07-07,910.4,29.0,9.0,2.0
2021-07-08,874.25,42.0,5.0,5.0
2021-07-09,1057.5,50.0,9.0,5.0
2021-07-10,1430.95,77.0,1.0,3.0
2021-07-11,2071.9,133.0,24.0,2.0
2021-07-12,1380.55,63.0,5.0,6.0
2021-07-13,1264.8,53.0,9.0,3.0
2021-07-14,1884.65,91.0,14.0,3.0
2021-07-15,1507.85,82.0,7.0,0.0
2021-07-16,1337.1,64.0,9.0,11.0
2021-07-17,1815.9,142.0,4.0,5.0
2021-07-18,1816.35,186.0,12.0,3.0
2021-07-19,1338.95,116.0,9.0,7.0
2021-07-20,1344.15,85.0,6.0,22.0
2021-07-21,1316.35,66.0,7.0,18.0
2021-07-22,1315.7,58.0,9.0,10.0
2021-07-23,1521.05,73.0,30.0,7.0
2021-07-24,1690.25,118.0,8.0,8.0
2021-07-25,1917.85,149.0,35.0,3.0
2021-07-26,1477.8,73.0,13.0,7.0
2021-07-27,1306.9,59.0,2.0,8.0
2021-07-28,1334.3,93.0,4.0,2.0
2021-07-29,1306.15,53.0,6.0,8.0
2021-07-30,1403.2,53.0,8.0,3.0
2021-07-31,1776.05,83.0,13.0,2.0
2021-08-01,1869.5,135.0,24.0,0.0
2021-08-02,1398.95,113.0,10.0,4.0
2021-08-03,1644.1,103.0,17.0,5.0
2021-08-04,1346.3,58.0,4.0,4.0
2021-08-05,1484.65,62.0,12.0,12.0
2021-08-06,1307.3,71.0,6.0,9.0
2021-08-07,1844.8,76.0,10.0,5.0
2021-08-08,2276.15,162.0,25.0,2.0
2021-08-09,1803.75,113.0,15.0,4.0
2021-08-10,1544.1,71.0,10.0,5.0
2021-08-11,1785.65,109.0,11.0,4.0
2021-08-12,1818.0,112.0,17.0,11.0
2021-08-13,1518.15,93.0,6.0,8.0
2021-08-14,1984.9,106.0,14.0,8.0
2021-08-15,2590.0,186.0,29.0,1.0
2021-08-16,1649.6,75.0,13.0,12.0
2021-08-17,1351.95,76.0,9.0,2.0
2021-08-18,1569.55,77.0,14.0,6.0
2021-08-19,1473.4,68.0,18.0,7.0
2021-08-20,1300.65,84.0,4.0,3.0
2021-08-21,1809.65,137.0,19.0,3.0
2021-08-22,1963.05,144.0,15.0,2.0
2021-08-23,1335.7,74.0,10.0,5.0
2021-08-24,1333.15,76.0,6.0,8.0
2021-08-25,1182.25,37.0,9.0,8.0
2021-08-26,1420.05,80.0,9.0,9.0
2021-08-27,1162.6,43.0,14.0,8.0
2021-08-28,1411.25,78.0,9.0,0.0
2021-08-29,1735.65,100.0,25.0,2.0
2021-08-30,954.9,60.0,8.0,4.0
2021-08-31,810.65,48.0,12.0,4.0
2021-09-01,726.9,37.0,11.0,3.0
2021-09-02,768.9,47.0,9.0,3.0
2021-09-03,829.6,38.0,14.0,8.0
2021-09-04,1029.45,70.0,6.0,2.0
2021-09-05,1367.4,112.0,30.0,2.0
2021-09-06,708.75,40.0,1.0,2.0
2021-09-07,683.05,26.0,7.0,6.0
2021-09-08,775.9,33.0,7.0,6.0
2021-09-09,735.1,41.0,2.0,4.0
2021-09-10,800.4,31.0,4.0,7.0
2021-09-11,927.65,71.0,5.0,6.0
2021-09-12,1339.15,118.0,24.0,1.0
2021-09-13,702.6,23.0,0.0,5.0
2021-09-14,665.25,24.0,4.0,3.0
2021-09-15,633.3,28.0,10.0,2.0
2021-09-16,577.25,26.0,7.0,1.0
2021-09-17,629.25,23.0,4.0,5.0
2021-09-18,876.25,52.0,15.0,4.0
2021-09-19,1014.2,88.0,15.0,0.0
2021-09-20,699.45,34.0,9.0,3.0
2021-09-21,720.95,21.0,11.0,3.0
2021-09-22,116.0,27.0,6.5,3.5
2021-09-23,585.65,33.0,2.0,4.0
2021-09-24,750.8,20.0,7.0,5.0
2021-09-25,857.3,57.0,2.0,3.0
2021-09-26,1078.25,95.0,17.0,1.0
2021-09-27,509.4,18.0,0.0,4.0
2021-09-28,526.6,21.0,1.0,6.0
2021-09-29,538.9,19.0,5.0,1.0
2021-09-30,555.15,26.0,7.0,5.0
2021-10-01,641.25,21.0,5.0,4.0
2021-10-02,638.1,45.0,9.0,1.0
2021-10-03,925.8,73.0,18.0,3.0
2021-10-04,578.1,20.0,0.0,1.0
